Date,Time,Ch1:Deg F
09/07/2018,09:09:09,74.325
09/07/2018,09:09:19,74.325
09/07/2018,09:09:29,74.447
09/07/2018,09:09:39,74.487
09/07/2018,09:09:49,74.527
09/07/2018,09:09:59,74.487
09/07/2018,09:10:09,74.447
09/07/2018,09:10:19,74.648
09/07/2018,09:10:29,75.008
09/07/2018,09:10:39,75.088
09/07/2018,09:10:49,75.088
09/07/2018,09:10:59,74.968
09/07/2018,09:11:09,74.888
09/07/2018,09:11:19,74.968
09/07/2018,09:11:29,74.848
09/07/2018,09:11:39,74.848
09/07/2018,09:11:49,74.848
09/07/2018,09:11:59,74.688
09/07/2018,09:12:09,74.648
09/07/2018,09:12:19,74.608
09/07/2018,09:12:29,74.608
09/07/2018,09:12:39,74.568
09/07/2018,09:12:49,74.527
09/07/2018,09:12:59,74.527
09/07/2018,09:13:09,74.487
09/07/2018,09:13:19,74.447
09/07/2018,09:13:29,74.527
09/07/2018,09:13:39,74.325
09/07/2018,09:13:49,74.366
09/07/2018,09:13:59,74.366
09/07/2018,09:14:09,74.487
09/07/2018,09:14:19,74.568
09/07/2018,09:14:29,74.568
09/07/2018,09:14:39,74.527
09/07/2018,09:14:49,74.568
09/07/2018,09:14:59,74.527
09/07/2018,09:15:09,74.527
09/07/2018,09:15:19,74.608
09/07/2018,09:15:29,74.568
09/07/2018,09:15:39,74.527
09/07/2018,09:15:49,74.527
09/07/2018,09:15:59,74.568
09/07/2018,09:16:09,74.487
09/07/2018,09:16:19,74.487
09/07/2018,09:16:29,74.487
09/07/2018,09:16:39,74.447
09/07/2018,09:16:49,74.487
09/07/2018,09:16:59,74.447
09/07/2018,09:17:09,74.447
09/07/2018,09:17:19,74.487
09/07/2018,09:17:29,74.447
09/07/2018,09:17:39,74.487
09/07/2018,09:17:49,74.447
09/07/2018,09:17:59,74.487
09/07/2018,09:18:09,74.366
09/07/2018,09:18:19,74.447
09/07/2018,09:18:29,74.406
09/07/2018,09:18:39,74.406
09/07/2018,09:18:49,74.406
09/07/2018,09:18:59,74.447
09/07/2018,09:19:09,74.406
09/07/2018,09:19:19,74.366
09/07/2018,09:19:29,74.366
09/07/2018,09:19:39,74.366
09/07/2018,09:19:49,74.487
09/07/2018,09:19:59,74.406
09/07/2018,09:20:09,74.487
09/07/2018,09:20:19,74.406
09/07/2018,09:20:29,74.406
09/07/2018,09:20:39,74.487
09/07/2018,09:20:49,74.325
09/07/2018,09:20:59,74.325
09/07/2018,09:21:09,74.244
09/07/2018,09:21:19,74.366
09/07/2018,09:21:29,74.366
09/07/2018,09:21:39,74.325
09/07/2018,09:21:49,74.366
09/07/2018,09:21:59,74.244
09/07/2018,09:22:09,74.325
09/07/2018,09:22:19,74.325
09/07/2018,09:22:29,74.204
09/07/2018,09:22:39,74.285
09/07/2018,09:22:49,74.244
09/07/2018,09:22:59,74.244
09/07/2018,09:23:09,74.244
09/07/2018,09:23:19,74.325
09/07/2018,09:23:29,74.325
09/07/2018,09:23:39,74.244
09/07/2018,09:23:49,74.406
09/07/2018,09:23:59,74.527
09/07/2018,09:24:09,74.447
09/07/2018,09:24:19,74.568
09/07/2018,09:24:29,74.527
09/07/2018,09:24:39,74.527
09/07/2018,09:24:49,74.487
09/07/2018,09:24:59,74.527
09/07/2018,09:25:09,74.487
09/07/2018,09:25:19,74.527
09/07/2018,09:25:29,74.568
09/07/2018,09:25:39,74.447
09/07/2018,09:25:49,74.527
09/07/2018,09:25:59,74.487
09/07/2018,09:26:09,74.487
09/07/2018,09:26:19,74.487
09/07/2018,09:26:29,74.568
09/07/2018,09:26:39,74.406
09/07/2018,09:26:49,74.487
09/07/2018,09:26:59,74.447
09/07/2018,09:27:09,74.447
09/07/2018,09:27:19,74.406
09/07/2018,09:27:29,74.527
09/07/2018,09:27:39,74.406
09/07/2018,09:27:49,74.487
09/07/2018,09:27:59,74.527
09/07/2018,09:28:09,74.447
09/07/2018,09:28:19,74.406
09/07/2018,09:28:29,74.406
09/07/2018,09:28:39,74.366
09/07/2018,09:28:49,74.406
09/07/2018,09:28:59,74.487
09/07/2018,09:29:09,74.487
09/07/2018,09:29:19,74.447
09/07/2018,09:29:29,74.527
09/07/2018,09:29:39,74.487
09/07/2018,09:29:49,74.527
09/07/2018,09:29:59,74.406
09/07/2018,09:30:09,74.487
09/07/2018,09:30:19,74.568
09/07/2018,09:30:29,74.487
09/07/2018,09:30:39,74.568
09/07/2018,09:30:49,74.608
09/07/2018,09:30:59,74.648
09/07/2018,09:31:09,74.568
09/07/2018,09:31:19,74.568
09/07/2018,09:31:29,74.527
09/07/2018,09:31:39,74.487
09/07/2018,09:31:49,74.487
09/07/2018,09:31:59,74.406
09/07/2018,09:32:09,74.244
09/07/2018,09:32:19,74.204
09/07/2018,09:32:29,74.000
09/07/2018,09:32:39,73.959
09/07/2018,09:32:49,73.795
09/07/2018,09:32:59,73.795
09/07/2018,09:33:09,73.548
09/07/2018,09:33:19,73.548
09/07/2018,09:33:29,73.383
09/07/2018,09:33:39,73.344
09/07/2018,09:33:49,73.146
09/07/2018,09:33:59,73.146
09/07/2018,09:34:09,72.947
09/07/2018,09:34:19,72.907
09/07/2018,09:34:29,72.747
09/07/2018,09:34:39,72.707
09/07/2018,09:34:49,72.546
09/07/2018,09:34:59,72.465
09/07/2018,09:35:09,72.384
09/07/2018,09:35:19,72.424
09/07/2018,09:35:29,72.262
09/07/2018,09:35:39,72.221
09/07/2018,09:35:49,72.262
09/07/2018,09:35:59,72.058
09/07/2018,09:36:09,71.936
09/07/2018,09:36:19,71.854
09/07/2018,09:36:29,71.772
09/07/2018,09:36:39,71.607
09/07/2018,09:36:49,71.730
09/07/2018,09:36:59,71.854
09/07/2018,09:37:09,71.854
09/07/2018,09:37:19,71.895
09/07/2018,09:37:29,71.648
09/07/2018,09:37:39,71.409
09/07/2018,09:37:49,71.210
09/07/2018,09:37:59,71.290
09/07/2018,09:38:09,71.210
09/07/2018,09:38:19,71.010
09/07/2018,09:38:29,71.010
09/07/2018,09:38:39,71.130
09/07/2018,09:38:49,71.130
09/07/2018,09:38:59,71.090
09/07/2018,09:39:09,70.930
09/07/2018,09:39:19,70.970
09/07/2018,09:39:29,70.970
09/07/2018,09:39:39,70.810
09/07/2018,09:39:49,70.648
09/07/2018,09:39:59,70.648
09/07/2018,09:40:09,70.648
09/07/2018,09:40:19,70.567
09/07/2018,09:40:29,70.648
09/07/2018,09:40:39,70.769
09/07/2018,09:40:49,70.890
09/07/2018,09:40:59,70.970
09/07/2018,09:41:09,70.970
09/07/2018,09:41:19,71.010
09/07/2018,09:41:29,71.010
09/07/2018,09:41:39,70.970
09/07/2018,09:41:49,70.930
09/07/2018,09:41:59,70.930
09/07/2018,09:42:09,70.970
09/07/2018,09:42:19,71.130
09/07/2018,09:42:29,71.090
09/07/2018,09:42:39,70.970
09/07/2018,09:42:49,71.010
09/07/2018,09:42:59,71.050
09/07/2018,09:43:09,71.010
09/07/2018,09:43:19,70.850
09/07/2018,09:43:29,70.769
09/07/2018,09:43:39,70.567
09/07/2018,09:43:49,70.567
09/07/2018,09:43:59,70.486
09/07/2018,09:44:09,70.201
09/07/2018,09:44:19,70.364
09/07/2018,09:44:29,70.405
09/07/2018,09:44:39,70.567
09/07/2018,09:44:49,70.608
09/07/2018,09:44:59,70.689
09/07/2018,09:45:09,70.648
09/07/2018,09:45:19,70.608
09/07/2018,09:45:29,70.567
09/07/2018,09:45:39,70.689
09/07/2018,09:45:49,70.567
09/07/2018,09:45:59,70.567
09/07/2018,09:46:09,70.446
09/07/2018,09:46:19,70.364
09/07/2018,09:46:29,70.364
09/07/2018,09:46:39,70.160
